rna_chr	rna_bgn	rna_end	id	rna_strand	dna_chr	dna_start	dna_end	dna_strand	gene_name	gene_type
chr11	109011843	109011869	23385	-	chr16	15543146	15543172	+	ENSG00000255528	lncRNA
chr11	109011847	109011874	81785	-	chr6	92790739	92790765	-	ENSG00000255528	lncRNA
chr11	109011695	109011714	130544	-	chr1	176166166	176166192	-	ENSG00000255528	lncRNA
chr11	109011847	109011874	197378	-	chr2	77550961	77550987	+	ENSG00000255528	lncRNA
chr11	109011817	109011843	243341	-	chr8	93778966	93778991	-	ENSG00000255528	lncRNA
chr11	109011816	109011843	30680	-	chr8	84295182	84295208	-	ENSG00000255528	lncRNA
chr11	109011847	109011874	1975	-	chr7	71611227	71611253	+	ENSG00000255528	lncRNA
chr11	109011842	109011868	76549	-	chr8	123907503	123907528	+	ENSG00000255528	lncRNA
chr11	109011847	109011874	88581	-	chr10	103185063	103185089	-	ENSG00000255528	lncRNA
chr11	109011847	109011873	80595	-	chr3	29963214	29963238	+	ENSG00000255528	lncRNA
chr11	109011728	109011755	163123	-	chr3	31499201	31499227	-	ENSG00000255528	lncRNA
chr11	109011728	109011755	240656	-	chr15	3706332	3706358	-	ENSG00000255528	lncRNA
chr11	109011728	109011755	100086	-	chr1	88438333	88438359	-	ENSG00000255528	lncRNA
chr11	109011728	109011755	71079	-	chr1	123172369	123172394	-	ENSG00000255528	lncRNA
chr11	109011728	109011755	229152	-	chr9	92835280	92835305	-	ENSG00000255528	lncRNA
chr11	109011728	109011755	215216	-	chr3	25704956	25704982	+	ENSG00000255528	lncRNA
chr11	109011728	109011755	115050	-	chr5	38594754	38594779	-	ENSG00000255528	lncRNA
chr11	109011728	109011755	38870	-	chr3	39136352	39136377	-	ENSG00000255528	lncRNA
chr11	109011728	109011755	239468	-	chr8	75209049	75209074	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	72972	-	chr2	142541407	142541433	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	242977	-	chr8	104347962	104347989	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	52829	-	chr19	59539285	59539310	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	132808	-	chr12	26675254	26675280	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	116778	-	chr8	97716286	97716312	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	126732	-	chr7	26584590	26584616	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	38261	-	chr8	102609410	102609435	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	148549	-	chr13	32585906	32585931	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	193342	-	chr17	36338976	36339003	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	5482	-	chr3	141647443	141647469	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	150891	-	chr8	55998997	55999022	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	74362	-	chr15	24010953	24010978	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	54499	-	chr14	118342862	118342887	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	59959	-	chr10	99448428	99448454	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	181792	-	chr17	13779947	13779972	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	193308	-	chr10	57018168	57018194	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	156192	-	chrX	14015932	14015957	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	234810	-	chr9	74436982	74437007	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	44394	-	chr14	36375962	36375987	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	99892	-	chr11	55543355	55543381	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	211065	-	chr13	44272473	44272498	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	227614	-	chr8	84873738	84873765	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	193798	-	chrM	3540	3565	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	38975	-	chr12	51028840	51028866	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	189332	-	chr8	28001910	28001935	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	128470	-	chr18	45414034	45414060	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	113203	-	chr5	24837971	24837997	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	218041	-	chrX	106613235	106613261	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	111038	-	chr2	168231169	168231194	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	114239	-	chr2	30445154	30445180	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	9623	-	chr6	42947195	42947222	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	164051	-	chr12	87039851	87039877	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	158165	-	chr9	22482917	22482942	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	64746	-	chr1	77822632	77822658	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	2725	-	chr7	139999145	139999170	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	230094	-	chr8	52036993	52037019	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	209962	-	chr16	53431453	53431479	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	16897	-	chr9	7878201	7878227	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	40481	-	chr19	7381128	7381153	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	183146	-	chr18	29844049	29844075	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	17422	-	chr11	63917449	63917474	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	27276	-	chr5	66766441	66766466	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	84341	-	chr19	45031896	45031922	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	71829	-	chr15	54224388	54224407	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	163962	-	chr3	136767825	136767851	+	ENSG00000255528	lncRNA
chr11	109011730	109011754	152645	-	chr11	17187782	17187808	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	126892	-	chr18	73502355	73502381	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	201608	-	chr6	80665779	80665805	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	108147	-	chr14	28000717	28000743	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	173768	-	chr2	98667241	98667267	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	54822	-	chrX	59937071	59937098	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	204154	-	chr17	82905779	82905804	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	152352	-	chr9	90496158	90496184	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	155756	-	chr9	77114096	77114117	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	74871	-	chr8	61019139	61019164	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	48323	-	chr18	8602479	8602505	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	99477	-	chr13	91161544	91161569	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	239510	-	chr12	21431611	21431636	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	134005	-	chr7	113519739	113519765	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	27974	-	chr2	98858556	98858581	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	38244	-	chr2	181777448	181777473	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	53898	-	chr10	26590782	26590808	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	96995	-	chr16	9581282	9581308	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	44920	-	chr2	20138868	20138894	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	215350	-	chr4	43976759	43976785	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	172220	-	chr2	69083229	69083255	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	164012	-	chr6	91344143	91344169	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	239549	-	chr2	77790051	77790077	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	90411	-	chr1	30790033	30790059	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	33655	-	chrX	17065511	17065537	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	151849	-	chr4	114972682	114972708	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	41699	-	chr7	43547784	43547809	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	44641	-	chr13	30856115	30856141	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	41027	-	chr9	63049274	63049300	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	118940	-	chr17	39845848	39845874	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	44216	-	chr11	89060979	89061005	+	ENSG00000255528	lncRNA
