rna_chr	rna_bgn	rna_end	id	rna_strand	dna_chr	dna_start	dna_end	dna_strand	gene_name	gene_type
chr1	25424175	25424202	32228	+	chr4	140476870	140476895	+	RHCE	protein_coding
chr1	63446720	63446747	219879	+	chr10	25483143	25483168	+	ITGB3BP	protein_coding
chr1	87656426	87656450	61164	+	chr11	52099047	52099073	+	PKN2-AS1	lncRNA
chr1	119305787	119305814	136671	+	chr1	119422166	119422192	-	ENSG00000227712	lncRNA
chr1	161035435	161035466	4769	+	chr10	77260871	77260896	+	ENSG00000270149	protein_coding
chr1	89506793	89506821	241551	+	chr4	105040314	105040340	-	ENSG00000286548	lncRNA
chr1	155188708	155188736	176466	+	chr1	177236732	177236758	-	MUC1	protein_coding
chr1	89479106	89479133	146706	+	chr12	106273417	106273443	+	ENSG00000286548	lncRNA
chr1	89503115	89503142	32795	+	chr15	94082294	94082320	-	ENSG00000286548	lncRNA
chr1	87911193	87911220	927	+	chr19	7013146	7013171	+	PKN2-AS1	lncRNA
chr1	63211142	63211169	33291	+	chr16	24647872	24647899	-	LINC00466	lncRNA
chr1	85807717	85807744	44759	+	chr16	8736145	8736171	+	COL24A1	protein_coding
chr1	192792057	192792077	107374	+	chr4	138705204	138705229	-	ENSG00000285280	lncRNA
chr1	33916616	33916643	58100	+	chr1	132236589	132236614	+	CSMD2	protein_coding
chr1	111007698	111007722	83868	+	chr12	12815563	12815589	-	CCNT2P1	processed_pseudogene
chr1	72713271	72713298	101750	+	chr1	49523905	49523931	+	ENSG00000225087	lncRNA
chr1	37387416	37387444	105357	+	chr1	44859378	44859404	-	ZC3H12A-DT	lncRNA
chr1	11089849	11089876	172388	+	chr1	10751691	10751717	+	EXOSC10	protein_coding
chr1	63175454	63175481	73053	+	chr13	24939791	24939817	-	LINC00466	lncRNA
chr1	55076179	55076206	243008	+	chr8	15005722	15005747	-	USP24	protein_coding
chr1	63456881	63456908	130212	+	chr1	17990266	17990292	-	ITGB3BP	protein_coding
chr1	72226326	72226353	124607	+	chr4	126337260	126337286	-	NEGR1	protein_coding
chr1	153095356	153095383	248549	+	chr17	60762715	60762740	-	SPRR2E	protein_coding
chr1	89481733	89481760	162776	+	chr7	79362391	79362416	-	ENSG00000286548	lncRNA
chr1	152223293	152223320	130868	+	chr5	68840974	68840999	-	HRNR	protein_coding
chr1	86887185	86887224	20490	+	chr10	128487038	128487064	-	SELENOF	protein_coding
chr1	87786926	87786953	186397	+	chr18	32329600	32329626	+	PKN2-AS1	lncRNA
chr1	89468126	89468153	122231	+	chr1	90131119	90131144	+	ENSG00000286548	lncRNA
chr1	87777182	87777209	208271	+	chr7	46354541	46354566	-	PKN2-AS1	lncRNA
chr1	92942505	92942532	112836	+	chr10	79796287	79796313	-	DIPK1A	protein_coding
chr1	63543742	63543769	192558	+	chr1	43220293	43220319	+	ITGB3BP	protein_coding
chr1	37891493	37891520	36442	+	chr1	38137374	38137400	+	INPP5B	protein_coding
chr1	72226328	72226355	155675	+	chr14	33724092	33724118	-	NEGR1	protein_coding
chr1	165573148	165573175	235435	+	chr17	29018031	29018058	-	LRRC52-AS1	lncRNA
chr1	161035884	161035911	56355	+	chr11	98752131	98752157	-	ENSG00000270149	protein_coding
chr1	58190496	58190523	5105	+	chr1	58189997	58190023	-	DAB1	protein_coding
chr1	153096894	153096922	116722	+	chr2	167452119	167452145	-	SPRR2E	protein_coding
chr1	92942299	92942326	86239	+	chr1	133580065	133580090	+	DIPK1A	protein_coding
chr1	63261062	63261089	49031	+	chrX	93988270	93988296	+	LINC00466	lncRNA
chr1	75504986	75505013	3922	+	chr5	81174197	81174224	+	SLC44A5	protein_coding
chr1	63498208	63498235	90196	+	chr2	159269178	159269204	+	ITGB3BP	protein_coding
chr1	190929159	190929185	49997	+	chr15	101439300	101439325	+	ENSG00000285638	lncRNA
chr1	170995706	170995733	45662	+	chr3	107659697	107659723	-	ENSG00000231424	lncRNA
chr1	120172520	120172546	29546	+	chr8	89431315	89431342	-	SEC22B	protein_coding
chr1	89509389	89509415	173242	+	chr12	33334243	33334269	-	ENSG00000286548	lncRNA
chr1	183301635	183301662	10944	+	chr10	59764805	59764830	-	NMNAT2	protein_coding
chr1	63302644	63302670	180237	+	chrX	44579640	44579665	+	LINC00466	lncRNA
chr1	162401563	162401590	75694	+	chr18	26281616	26281642	+	SH2D1B	protein_coding
chr1	89480246	89480273	219077	+	chr1	89286305	89286330	+	ENSG00000286548	lncRNA
chr1	55074909	55074936	214108	+	chr1	74206548	74206574	+	USP24	protein_coding
chr1	93286654	93286680	139740	+	chr15	78180553	78180579	-	CCDC18-AS1	lncRNA
chr1	93758461	93758488	78900	+	chr6	98165839	98165865	+	BCAR3	protein_coding
chr1	156039118	156039145	229059	+	chr2	112047937	112047963	-	UBQLN4	protein_coding
chr1	89457121	89457147	198684	+	chr1	75833991	75834017	+	ENSG00000286548	lncRNA
chr1	63581648	63581675	39173	+	chr15	53882836	53882862	-	ITGB3BP	protein_coding
chr1	63590626	63590652	151619	+	chr11	77345938	77345963	+	ITGB3BP	protein_coding
chr1	63587807	63587835	20067	+	chr1	40014315	40014341	-	ITGB3BP	protein_coding
chr1	63524686	63524713	64261	+	chr1	64902489	64902515	+	ITGB3BP	protein_coding
chr1	93273523	93273549	96	+	chr2	156022349	156022375	+	CCDC18-AS1	lncRNA
chr1	23790967	23791000	1299	+	chr2	174838643	174838669	-	ENSG00000289835	lncRNA
chr1	86932545	86932572	63509	+	chr14	114020539	114020565	-	ENSG00000267734	lncRNA
chr1	33989668	33989695	150146	+	chr1	51259988	51260014	-	CSMD2	protein_coding
chr1	34077223	34077250	167586	+	chr1	73819958	73819984	-	CSMD2	protein_coding
chr1	86088202	86088229	39118	+	chr1	78224509	78224535	-	COL24A1	protein_coding
chr1	63493580	63493607	36116	+	chr16	97470919	97470945	-	ITGB3BP	protein_coding
chr1	21067794	21067818	228744	+	chr10	37234591	37234617	-	EIF4G3	protein_coding
chr1	72226411	72226439	18778	+	chr1	133611286	133611312	-	NEGR1	protein_coding
chr1	72254878	72254906	58303	+	chr1	88468578	88468604	-	NEGR1	protein_coding
chr1	71557704	71557731	67910	+	chr1	95023138	95023164	+	NEGR1	protein_coding
chr1	89144793	89144821	229006	+	chr1	131551125	131551151	+	GBP2	protein_coding
chr1	89144793	89144821	229006	+	chr1	131551125	131551151	+	GBP7	protein_coding
chr1	89465748	89465775	73200	+	chr15	24751648	24751674	+	ENSG00000286548	lncRNA
chr1	34022743	34022770	218445	+	chr1	36533436	36533462	+	CSMD2	protein_coding
chr1	64098642	64098665	160619	+	chr15	3859574	3859599	-	ROR1-AS1	lncRNA
chr1	166132643	166132671	75171	+	chr1	165858309	165858335	+	FAM78B	protein_coding
chr1	63447366	63447393	154825	+	chr1	63501385	63501411	+	ITGB3BP	protein_coding
chr1	92848861	92848887	239173	+	chr1	181101031	181101057	+	DIPK1A	protein_coding
chr1	58401033	58401060	118729	+	chr19	43610102	43610128	+	DAB1	protein_coding
chr1	87766213	87766240	8387	+	chr1	87968957	87968981	+	PKN2-AS1	lncRNA
chr1	165482711	165482738	3782	+	chr7	110694362	110694388	-	LRRC52-AS1	lncRNA
chr1	72849140	72849167	202354	+	chr9	47344903	47344929	-	ENSG00000225087	lncRNA
chr1	72849140	72849166	83183	+	chr15	51284203	51284229	+	ENSG00000225087	lncRNA
chr1	87777181	87777208	207787	+	chr13	20164696	20164722	-	PKN2-AS1	lncRNA
chr1	3542495	3542522	160845	+	chrX	159325660	159325686	-	MEGF6	protein_coding
chr1	35400680	35400706	146781	+	chr11	93882483	93882508	-	KIAA0319L	protein_coding
chr1	170477371	170477397	206116	+	chr19	5480856	5480881	-	GORAB-AS1	lncRNA
chr1	75530672	75530699	73545	+	chr1	183301121	183301147	+	SLC44A5	protein_coding
chr1	46645691	46645718	236	+	chr2	171676219	171676245	+	ATPAF1	protein_coding
chr1	55132672	55132699	183641	+	chr15	82372879	82372905	-	USP24	protein_coding
chr1	87942491	87942518	211413	+	chr15	7091467	7091492	+	PKN2-AS1	lncRNA
chr1	89467230	89467256	199050	+	chr1	89032704	89032729	-	ENSG00000286548	lncRNA
chr1	72242650	72242676	138311	+	chr1	35845921	35845947	+	NEGR1	protein_coding
chr1	82428956	82428983	71226	+	chr1	75627949	75627974	-	ENSG00000233290	lncRNA
chr1	156570487	156570514	24439	+	chr7	122703899	122703925	+	IQGAP3	protein_coding
chr1	33719921	33719948	63435	+	chr5	33416066	33416093	-	CSMD2	protein_coding
chr1	86130692	86130719	2305	+	chr1	159892796	159892821	-	COL24A1	protein_coding
chr1	93791702	93791729	200563	+	chr1	38897048	38897074	-	BCAR3	protein_coding
chr1	57826352	57826379	214762	+	chr17	30481612	30481638	+	DAB1	protein_coding
chr1	63446022	63446048	105466	+	chr1	120068588	120068614	-	ITGB3BP	protein_coding
chr1	63227458	63227485	205429	+	chr3	40039117	40039142	-	LINC00466	lncRNA
chr1	57378016	57378043	36224	+	chr12	113003910	113003937	-	DAB1	protein_coding
chr1	75375850	75375876	144267	+	chr13	38490790	38490816	+	SLC44A5	protein_coding
chr1	63263135	63263162	235644	+	chr1	61701532	61701557	-	LINC00466	lncRNA
chr1	93294333	93294360	213316	+	chr14	66629694	66629720	+	CCDC18-AS1	lncRNA
chr1	75384157	75384185	167289	+	chr9	120057537	120057562	-	SLC44A5	protein_coding
chr1	87706922	87706949	180423	+	chr1	74564386	74564412	-	PKN2-AS1	lncRNA
chr1	34155164	34155191	53601	+	chr3	3230764	3230791	-	CSMD2	protein_coding
chr1	87356251	87356278	100269	+	chr1	87390965	87390991	-	LINC01364	lncRNA
chr1	63537192	63537218	231945	+	chr1	63202438	63202463	+	ITGB3BP	protein_coding
chr1	63218053	63218081	143942	+	chr1	83402717	83402742	+	LINC00466	lncRNA
chr1	82840092	82840119	156944	+	chr1	82912759	82912785	+	ENSG00000233290	lncRNA
chr1	63587099	63587125	132343	+	chr1	63519951	63519977	+	ITGB3BP	protein_coding
chr1	89488522	89488548	192316	+	chr1	74506117	74506143	+	ENSG00000286548	lncRNA
chr1	34035010	34035037	232443	+	chr11	63423337	63423363	+	CSMD2	protein_coding
chr1	71740433	71740459	35295	+	chr1	129491843	129491869	-	NEGR1	protein_coding
chr1	36097089	36097116	163200	+	chr15	90879313	90879339	-	COL8A2	protein_coding
chr1	43451014	43451041	134881	+	chr10	22823786	22823812	-	HYI	protein_coding
chr1	34102351	34102377	159617	+	chr1	89670301	89670327	-	CSMD2	protein_coding
chr1	63295935	63295962	28721	+	chr1	63137481	63137507	-	LINC00466	lncRNA
chr1	63178721	63178748	49285	+	chr18	59043829	59043855	+	LINC00466	lncRNA
chr1	63178721	63178748	143399	+	chr5	109847154	109847179	+	LINC00466	lncRNA
chr1	89117765	89117792	107988	+	chr1	88470003	88470028	+	GBP2	protein_coding
chr1	63566623	63566650	161723	+	chr1	109878636	109878661	+	ITGB3BP	protein_coding
chr1	43971241	43971267	8386	+	chr8	43331215	43331241	+	ENSG00000285649	lncRNA
chr1	87920549	87920576	244067	+	chr11	36886036	36886061	+	PKN2-AS1	lncRNA
chr1	89467981	89468007	181077	+	chr14	19415775	19415801	-	ENSG00000286548	lncRNA
chr1	155175203	155175230	139881	+	chr1	136796399	136796425	+	ENSG00000273088	protein_coding
chr1	85812301	85812328	86387	+	chr2	120860927	120860953	-	COL24A1	protein_coding
chr1	82741684	82741710	235365	+	chr1	40976445	40976471	-	ENSG00000233290	lncRNA
chr1	58458719	58458745	58547	+	chr19	44676408	44676434	-	DAB1	protein_coding
chr1	58458719	58458745	58547	+	chr19	44676408	44676434	-	OMA1	protein_coding
chr1	161036109	161036135	231697	+	chr8	108272477	108272504	+	ENSG00000270149	protein_coding
chr1	161036109	161036136	33247	+	chr2	104657233	104657259	-	ENSG00000270149	protein_coding
chr1	180972111	180972138	237853	+	chr3	28213847	28213872	+	ENSG00000243155	lncRNA
chr1	86132758	86132785	160003	+	chr1	86139630	86139657	-	COL24A1	protein_coding
chr1	192455751	192455779	132873	+	chr12	54997494	54997519	+	ENSG00000285280	lncRNA
chr1	63567995	63568022	153510	+	chr2	135760700	135760725	-	ITGB3BP	protein_coding
chr1	63555176	63555203	40919	+	chr12	31543512	31543538	+	ITGB3BP	protein_coding
chr1	191121108	191121135	77816	+	chr12	41333709	41333735	-	ENSG00000285638	lncRNA
chr1	63263801	63263827	40432	+	chr9	20727763	20727789	+	LINC00466	lncRNA
chr1	63591573	63591599	233485	+	chr16	24489773	24489799	-	ITGB3BP	protein_coding
chr1	63566645	63566671	74816	+	chr1	63562077	63562103	-	ITGB3BP	protein_coding
chr1	173462212	173462239	64330	+	chr12	17184734	17184761	+	PRDX6-AS1	lncRNA
chr1	63461607	63461634	231408	+	chr3	65044355	65044381	-	ITGB3BP	protein_coding
chr1	63210248	63210275	52060	+	chr1	43468129	43468154	-	LINC00466	lncRNA
chr1	172393593	172393620	248119	+	chr9	14642442	14642466	-	PIGC	protein_coding
chr1	120092426	120092453	112690	+	chr5	80233407	80233432	-	NOTCH2	protein_coding
chr1	87678032	87678059	59052	+	chr1	133943238	133943263	-	PKN2-AS1	lncRNA
chr1	48543312	48543339	205685	+	chr2	23523956	23523981	+	AGBL4	protein_coding
chr1	190945012	190945039	8772	+	chr11	96625232	96625257	+	ENSG00000285638	lncRNA
chr1	46855111	46855137	126827	+	chr12	9035312	9035338	+	CYP4Z2P	lncRNA
chr1	46855111	46855137	126827	+	chr12	9035312	9035338	+	CYP4Z2P	transcribed_unprocessed_pseudogene
chr1	93818510	93818536	167083	+	chr6	30342915	30342941	-	BCAR3	protein_coding
chr1	93764050	93764077	93201	+	chr1	161066330	161066355	+	BCAR3	protein_coding
chr1	151778089	151778115	170408	+	chr3	149297940	149297965	-	TDRKH	protein_coding
chr1	89465639	89465666	190165	+	chr7	24018467	24018493	+	ENSG00000286548	lncRNA
chr1	63235063	63235089	160283	+	chr1	151651399	151651426	+	LINC00466	lncRNA
chr1	63464604	63464631	72100	+	chr1	63490086	63490112	+	ITGB3BP	protein_coding
chr1	72263104	72263132	121294	+	chr1	192779292	192779318	-	NEGR1	protein_coding
chr1	167140881	167140908	47903	+	chr8	61585544	61585570	-	GPA33	protein_coding
chr1	63260746	63260773	227437	+	chr10	67313869	67313895	+	LINC00466	lncRNA
chr1	58393272	58393300	202681	+	chr16	32431541	32431567	+	DAB1	protein_coding
chr1	89457805	89457831	143309	+	chr4	141081495	141081521	-	ENSG00000286548	lncRNA
chr1	60043374	60043402	38994	+	chr16	88149585	88149612	-	C1orf87	protein_coding
chr1	82317832	82317858	12738	+	chr1	20596795	20596821	+	ENSG00000233290	lncRNA
chr1	89142862	89142889	11397	+	chr1	138819847	138819873	-	GBP2	protein_coding
chr1	89142862	89142889	11397	+	chr1	138819847	138819873	-	GBP7	protein_coding
chr1	51447563	51447586	110544	+	chr4	140403316	140403342	-	EPS15	protein_coding
chr1	169277346	169277373	111946	+	chr8	75446195	75446221	+	NME7	protein_coding
chr1	89504078	89504105	70094	+	chr1	89636664	89636689	+	ENSG00000286548	lncRNA
chr1	166159355	166159382	126133	+	chr2	174434737	174434763	+	FAM78B	protein_coding
chr1	166159355	166159382	126133	+	chr2	174434737	174434763	+	ENSG00000230898	lncRNA
chr1	33908273	33908300	61880	+	chr1	36044395	36044421	-	CSMD2	protein_coding
chr1	37409648	37409674	107506	+	chr11	70631080	70631106	+	ZC3H12A-DT	lncRNA
chr1	87685276	87685303	70640	+	chr1	88512325	88512351	+	PKN2-AS1	lncRNA
chr1	166141070	166141096	215019	+	chr1	175001189	175001215	+	FAM78B	protein_coding
chr1	161037407	161037434	143179	+	chr11	34064037	34064062	+	ENSG00000270149	protein_coding
chr1	161037407	161037434	110759	+	chr10	84911009	84911034	+	ENSG00000270149	protein_coding
chr1	161037407	161037434	16053	+	chr10	55335994	55336019	+	ENSG00000270149	protein_coding
chr1	161035883	161035910	49903	+	chr4	66867529	66867556	-	ENSG00000270149	protein_coding
chr1	161035883	161035910	163958	+	chr11	8857846	8857872	-	ENSG00000270149	protein_coding
chr1	191074089	191074116	236424	+	chr1	189604855	189604881	-	ENSG00000285638	lncRNA
chr1	109354806	109354832	29967	+	chr11	55969649	55969674	+	SORT1	protein_coding
chr1	93299026	93299053	232448	+	chr2	25621801	25621826	+	CCDC18-AS1	lncRNA
chr1	87916809	87916835	19274	+	chr1	87916781	87916806	+	PKN2-AS1	lncRNA
chr1	21827044	21827071	172010	+	chr13	29825358	29825384	+	HSPG2	protein_coding
chr1	34007543	34007570	234401	+	chr16	57314530	57314555	+	CSMD2	protein_coding
chr1	43974176	43974203	109873	+	chr13	55337794	55337820	+	ENSG00000285649	lncRNA
chr1	40580536	40580566	209848	+	chr4	134272347	134272373	-	ENSG00000286838	lncRNA
chr1	93300825	93300852	12316	+	chr11	77365952	77365977	-	CCDC18-AS1	lncRNA
chr1	121504171	121504201	134094	+	chr5	141499406	141499431	-	ENSG00000228826	lncRNA
chr1	16134747	16134774	132107	+	chr1	15987692	15987718	-	EPHA2	protein_coding
chr1	85849280	85849307	120248	+	chr14	63946245	63946271	+	COL24A1	protein_coding
chr1	156649832	156649860	64996	+	chr1	156019071	156019096	+	BCAN-AS2	lncRNA
chr1	63284788	63284815	249201	+	chr16	4914574	4914599	-	LINC00466	lncRNA
chr1	63483646	63483674	71915	+	chr8	95775540	95775566	+	ITGB3BP	protein_coding
chr1	155175824	155175851	129252	+	chr1	185223991	185224017	-	ENSG00000273088	protein_coding
chr1	92942247	92942274	91855	+	chr5	115007675	115007701	-	DIPK1A	protein_coding
chr1	16599569	16599596	145343	+	chr7	74974805	74974831	-	NBPF1	protein_coding
chr1	167069891	167069914	157517	+	chr5	131471591	131471617	-	GPA33	protein_coding
chr1	33977162	33977189	193524	+	chr1	34041758	34041784	+	CSMD2	protein_coding
chr1	63517042	63517069	57574	+	chr1	79047413	79047440	-	ITGB3BP	protein_coding
chr1	34024893	34024920	135938	+	chr1	33831152	33831178	-	CSMD2	protein_coding
chr1	62571448	62571475	49614	+	chr2	20496315	20496341	+	DOCK7	protein_coding
chr1	5484554	5484581	198325	+	chr1	79598977	79599003	+	ENSG00000284692	lncRNA
chr1	166164343	166164369	86669	+	chr8	78413885	78413910	+	FAM78B	protein_coding
chr1	166164343	166164369	86669	+	chr8	78413885	78413910	+	ENSG00000230898	lncRNA
chr1	34844554	34844581	159946	+	chr8	70184876	70184902	+	SMIM12	protein_coding
chr1	101922126	101922152	131702	+	chr3	9330386	9330412	-	OLFM3	protein_coding
chr1	165286943	165286962	159545	+	chr1	165180056	165180082	-	LMX1A	protein_coding
chr1	89615948	89615973	199789	+	chr15	77338302	77338327	+	LRRC8C-DT	lncRNA
chr1	191084341	191084367	126851	+	chr11	86745502	86745528	-	ENSG00000285638	lncRNA
chr1	63221736	63221763	12225	+	chr16	38650525	38650551	-	LINC00466	lncRNA
chr1	63177386	63177413	230638	+	chr4	96324036	96324062	-	LINC00466	lncRNA
chr1	82839646	82839672	221113	+	chr14	28892211	28892238	-	ENSG00000233290	lncRNA
chr1	59774749	59774776	150177	+	chr2	64576339	64576365	+	ENSG00000226883	lncRNA
chr1	63540163	63540189	197973	+	chr1	26629814	26629840	-	ITGB3BP	protein_coding
chr1	63499130	63499156	173139	+	chr10	60128432	60128457	-	ITGB3BP	protein_coding
chr1	63252429	63252455	9002	+	chr1	62875392	62875419	-	LINC00466	lncRNA
chr1	119103546	119103573	233774	+	chr10	41005370	41005396	-	WARS2	protein_coding
chr1	60024259	60024285	155347	+	chr13	19621989	19622015	-	C1orf87	protein_coding
chr1	161036112	161036138	5367	+	chr14	78442332	78442358	-	ENSG00000270149	protein_coding
chr1	161036112	161036138	139444	+	chr3	101101580	101101606	-	ENSG00000270149	protein_coding
chr1	87678675	87678701	69870	+	chr1	134078001	134078027	+	PKN2-AS1	lncRNA
chr1	151445778	151445805	207040	+	chr11	120131495	120131521	-	POGZ	protein_coding
chr1	63542717	63542743	199075	+	chr4	116838600	116838626	+	ITGB3BP	protein_coding
chr1	38000894	38000920	183606	+	chr11	64051143	64051169	+	FHL3	protein_coding
chr1	89474193	89474219	141762	+	chr1	89581972	89581998	+	ENSG00000286548	lncRNA
chr1	34032695	34032722	174440	+	chr1	35190871	35190897	+	CSMD2	protein_coding
